Municipality	Yes	No	Total
Ramotshere Moiloa 	7,255.2	33,484.6	40,739.8
Naledi-NW 	5,371.6	13,199.2	18,570.8
Mamusa 	2,986.2	11,636.3	14,622.5
Greater Taung 	6,642.9	41,969.6	48,612.5
Lekwa-Teemane 	3,544.4	11,385.4	14,929.8
Kagisano/Molopo 	4,261.1	24,269.7	28,530.8
Ventersdorp 	2,747.2	11,815.1	14,562.2
Tlokwe City Council 	20,011.3	32,524.2	52,535.5
City of Matlosana 	37,013.2	83,428.2	120,441.3
Maquassi Hills 	4,481.6	16,023.8	20,505.4
Emfuleni 	67,333.2	152,797.8	220,131.0
Midvaal 	14,296.8	15,664.0	29,960.8
Lesedi 	11,036.0	18,627.9	29,663.9
Mogale City 	42,160.9	75,208.7	117,369.6
Randfontein 	16,582.4	26,713.7	43,296.0
Westonaria 	7,926.8	32,174.2	40,101.0
Merafong City 	17,407.5	49,216.0	66,623.5
Ekurhuleni 	358,878.3	656,519.5	1,015,397.8
City of Johannesburg 	548,989.8	885,794.8	1,434,784.6
City of Tshwane 	398,894.2	512,603.5	911,497.7
Albert Luthuli 	9,952.2	37,753.2	47,705.4
Msukaligwa 	11,379.5	29,552.1	40,931.6
Mkhondo 	7,086.9	30,346.4	37,433.4
Pixley Ka Seme 	4,932.4	14,905.3	19,837.7
Lekwa 	9,376.1	21,694.6	31,070.7
Dipaleseng 	2,918.3	9,719.0	12,637.3
Govan Mbeki 	29,574.2	54,294.7	83,869.0
Victor Khanye 	5,907.4	14,640.1	20,547.5
Emalahleni-MP 	42,039.1	77,833.8	119,872.9
Steve Tshwete 	26,342.1	38,623.8	64,965.9
Emakhazeni 	4,025.2	9,695.5	13,720.7
Thembisile 	18,162.1	57,470.6	75,632.8
Dr JS Moroka 	13,822.0	48,339.8	62,161.8
Thaba Chweu 	8,339.9	25,012.3	33,352.2
Mbombela 	44,305.2	117,460.2	161,765.4
Umjindi 	4,574.6	14,988.1	19,562.8
Nkomazi 	15,669.4	80,532.3	96,201.7
Bushbuckridge 	24,309.0	109,887.9	134,196.9
Greater Giyani 	9,975.6	53,571.0	63,546.6
Greater Letaba 	8,047.9	50,211.1	58,259.0
Greater Tzaneen 	19,893.7	89,030.9	108,924.6
Ba-Phalaborwa 	10,216.0	30,898.2	41,114.1
Maruleng 	3,912.8	20,556.8	24,469.6
Mutale 	3,827.8	19,923.6	23,751.4
Thulamela 	26,292.1	130,301.9	156,594.0
Musina 	3,302.9	16,738.9	20,041.8
Makhado 	24,510.0	110,377.7	134,887.8
Blouberg 	5,949.9	35,242.5	41,192.3
Aganang 	4,699.1	29,219.0	33,918.1
Molemole 	5,030.8	25,012.5	30,043.3
Polokwane 	49,468.5	128,532.9	178,001.4
Lepele-Nkumpi 	11,561.2	48,119.9	59,681.1
Thabazimbi 	7,284.1	17,794.6	25,078.8
Lephalale 	7,759.1	22,120.7	29,879.8
Mookgopong 	2,688.5	7,229.3	9,917.8
Modimolle 	4,822.2	12,699.3	17,521.5
Bela-Bela 	5,183.6	12,884.6	18,068.2
Mogalakwena 	17,549.6	61,842.2	79,391.7
Ephraim Mogale 	5,549.4	26,734.2	32,283.6
Elias Motsoaledi 	13,316.3	46,934.6	60,251.0
Makhuduthamaga 	11,445.7	53,771.3	65,217.0
Fetakgomo 	3,723.8	19,127.3	22,851.1
Greater Tubatse 	16,708.5	66,490.8	83,199.3
