incident_key,boro,occur_date,murder,longitude,latitude
193118596,MANHATTAN,2019-02-02,FALSE,-73.94547898299999,40.791915747000075
193160951,BROOKLYN,2019-02-04,TRUE,-73.94938958399996,40.687863116000074
193160952,BROOKLYN,2019-02-04,TRUE,-74.00037110599999,40.57916181000007
193160952,BROOKLYN,2019-02-04,FALSE,-74.00037110599999,40.57916181000007
193160952,BROOKLYN,2019-02-04,TRUE,-74.00037110599999,40.57916181000007
193160952,BROOKLYN,2019-02-04,FALSE,-74.00037110599999,40.57916181000007
193162778,MANHATTAN,2019-02-04,FALSE,-73.94728636599996,40.81347285700008
193214568,QUEENS,2019-02-05,FALSE,-73.75615095499995,40.60666425800008
193226256,BROOKLYN,2019-02-06,FALSE,-73.93951647099993,40.70574137600005
193267668,BROOKLYN,2019-02-06,TRUE,-73.92797552099995,40.679224926000074
