fecha_hecho;longitud;latitud;sexo;edad;modalidad
2013-03-17T12:12:00Z;-75,56013300000;6,29133300000;Hombre;24;Asfixia mecánica
2013-05-16T04:40:00Z;-75,57760900000;6,28280900000;Hombre;46;Arma de fuego
2014-02-03T18:49:00Z;-75,58937800000;6,29339000000;Hombre;19;Arma de fuego
2013-03-19T11:00:00Z;-75,53320700000;6,23678400000;Hombre;27;Arma de fuego
2014-01-28T02:50:00Z;-75,64258200000;6,17346300000;Hombre;20;Cortopunzante
2013-08-31T10:21:00Z;-75,56875700000;6,25220100000;Hombre;20;Cortopunzante
2014-01-09T19:03:00Z;-75,57616200000;6,29244200000;Hombre;19;Arma de fuego
2014-01-19T07:06:00Z;-75,57932700000;6,28707200000;Hombre;35;Arma de fuego
2013-10-15T06:00:00Z;-75,64551360000;6,16552514000;Hombre;47;Asfixia mecánica
2014-01-23T00:46:00Z;-75,59348100000;6,22829400000;Hombre;41;Arma de fuego
2013-07-08T17:41:00Z;-75,54649400000;6,27005400000;Hombre;22;Arma de fuego
2015-02-19T17:15:00Z;-75,56117200000;6,29676600000;Hombre;53;Arma de fuego
2015-03-27T11:37:00Z;-75,57987900000;6,24739600000;Hombre;39;Cortopunzante
2015-02-22T09:29:00Z;-75,56095100000;6,27590600000;Mujer;29;Arma de fuego
2014-06-18T09:24:00Z;-75,57425200000;6,28099000000;Hombre;25;Arma de fuego
2014-06-20T20:48:00Z;-75,63972100000;6,27495800000;Hombre;18;Arma de fuego
2013-04-05T02:38:00Z;-75,64117300000;6,18328900000;Mujer;19;Arma de fuego
2013-03-10T04:45:00Z;-75,59336300000;6,22119900000;Hombre;34;Arma de fuego
2012-08-31T16:47:00Z;-75,56465500000;6,26895000000;Hombre;26;Arma de fuego
2014-08-05T21:50:00Z;-75,61984600000;6,24996800000;Hombre;18;Arma de fuego
2013-10-27T02:48:00Z;-75,60684520000;6,19990490000;Hombre;47;Arma de fuego
2013-03-09T22:00:00Z;-75,59612400000;6,29506100000;Hombre;19;Arma de fuego
2013-10-29T21:44:00Z;-75,56887100000;6,25664700000;Hombre;48;Arma de fuego
2014-11-11T04:45:00Z;-75,60112900000;6,24294800000;Hombre;22;Cortopunzante
2015-01-03T02:13:00Z;-75,57963000000;6,29557400000;Hombre;22;Arma de fuego
2014-09-29T02:35:00Z;-75,56051700000;6,24615600000;Hombre;36;Arma de fuego
2014-10-18T21:04:00Z;-75,55616200000;6,30239200000;Mujer;25;Arma de fuego
2014-09-21T04:00:00Z;-75,59408300000;6,29394500000;Hombre;25;Contundente
2013-10-20T07:36:00Z;-75,54579300000;6,23304300000;Hombre;45;Arma de fuego
2013-09-26T14:29:00Z;-75,61676100000;6,25799000000;Hombre;20;Arma de fuego
2013-01-28T23:38:00Z;-75,60737000000;6,26012900000;Mujer;59;Arma de fuego
2013-06-07T01:20:00Z;-75,55216200000;6,29420400000;Hombre;16;Arma de fuego
2012-11-16T01:30:00Z;-75,62166800000;6,26825700000;Hombre;37;Arma de fuego
2013-02-23T02:13:00Z;-75,60048200000;6,25637600000;Hombre;19;Arma de fuego
2013-11-12T01:02:00Z;-75,58837700000;6,20912900000;Hombre;25;Arma de fuego
2012-09-29T16:20:00Z;-75,59033600000;6,19672100000;Hombre;31;Arma de fuego
2013-02-24T10:10:00Z;-75,56217600000;6,25345900000;Hombre;30;Cortopunzante
2013-02-08T01:55:00Z;-75,61396700000;6,26212700000;Hombre;19;Arma de fuego
